yourlist:M2018113014483A1C7ED25EE8374758DF3FD545FD0520569	isomap:M2018113014483A1C7ED25EE8374758DF3FD545FD0520569	Status	yourlist:M2018113014483A1C7ED25EE8374758DF3FD545FD051FAA9	isomap:M2018113014483A1C7ED25EE8374758DF3FD545FD051FAA9	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
NM_023799	NM_023799 -> Q9EQQ9-1	reviewed	NM_023799	NM_023799 -> Q9EQQ9-1	Q9EQQ9	OGA_MOUSE	reviewed	Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Bifunctional protein NCOAT) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase)	Oga Hexc Kiaa0679 Mgea5	Mus musculus (Mouse)	916
NM_008325		unreviewed	NM_008325		Q3U1Z0	Q3U1Z0_MOUSE	unreviewed	Uncharacterized protein	Idua	Mus musculus (Mouse)	643
NM_008325		unreviewed	NM_008325		Q8BLF6	Q8BLF6_MOUSE	unreviewed	Alpha-L-iduronidase	Idua	Mus musculus (Mouse)	596
NM_008325		unreviewed	NM_008325		Q8BMG0	Q8BMG0_MOUSE	unreviewed	Alpha-L-iduronidase	Idua	Mus musculus (Mouse)	643
NM_001005847		unreviewed	NM_001005847		A2RSS6	A2RSS6_MOUSE	unreviewed	"Aspartylglucosaminidase (Aspartylglucosaminidase, isoform CRA_b)"	Aga mCG_8110	Mus musculus (Mouse)	346
NM_001005847		reviewed	NM_001005847		Q64191	ASPG_MOUSE	reviewed	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26) (Aspartylglucosaminidase) (AGA) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain; Glycosylasparaginase beta chain]	Aga	Mus musculus (Mouse)	346
NM_019734		unreviewed	NM_019734		Q78P93	Q78P93_MOUSE	unreviewed	"Acid ceramidase (N-acylsphingosine amidohydrolase 1, isoform CRA_a)"	Asah1 mCG_17727	Mus musculus (Mouse)	394
NM_019734		reviewed	NM_019734		Q9WV54	ASAH1_MOUSE	reviewed	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylsphingosine amidohydrolase) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]	Asah1 Asah	Mus musculus (Mouse)	394
NM_031251		reviewed	NM_031251		P57757	CTNS_MOUSE	reviewed	Cystinosin	Ctns	Mus musculus (Mouse)	367
NM_031251		unreviewed	NM_031251		Q542U5	Q542U5_MOUSE	unreviewed	"Cystinosis, nephropathic, isoform CRA_a"	Ctns mCG_6662	Mus musculus (Mouse)	367
NM_008906		unreviewed	NM_008906		Q544R6	Q544R6_MOUSE	unreviewed	Carboxypeptidase (EC 3.4.16.-)	Ctsa Ppgb mCG_17533	Mus musculus (Mouse)	474
NM_008906		unreviewed	NM_008906		Q9D2D1	Q9D2D1_MOUSE	unreviewed	Carboxypeptidase (EC 3.4.16.-)	Ctsa Ppgb	Mus musculus (Mouse)	474
NM_008064		reviewed	NM_008064		P70699	LYAG_MOUSE	reviewed	Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase)	Gaa	Mus musculus (Mouse)	953
NM_008079		reviewed	NM_008079		P54818	GALC_MOUSE	reviewed	Galactocerebrosidase (GALCERase) (EC 3.2.1.46) (Galactocerebroside beta-galactosidase) (Galactosylceramidase) (Galactosylceramide beta-galactosidase)	Galc	Mus musculus (Mouse)	684
NM_008094		reviewed	NM_008094		P17439	GLCM_MOUSE	reviewed	Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase)	Gba	Mus musculus (Mouse)	515
NM_010684		reviewed	NM_010684		P11438	LAMP1_MOUSE	reviewed	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (120 kDa lysosomal membrane glycoprotein) (CD107 antigen-like family member A) (LGP-120) (Lysosomal membrane glycoprotein A) (LGP-A) (P2B) (CD antigen CD107a)	Lamp1 Lamp-1	Mus musculus (Mouse)	406
NM_010684		unreviewed	NM_010684		Q3TA96	Q3TA96_MOUSE	unreviewed	"Lysosomal membrane glycoprotein 1, isoform CRA_c"	Lamp1 mCG_3708	Mus musculus (Mouse)	406
NM_010684		unreviewed	NM_010684		Q3TX84	Q3TX84_MOUSE	unreviewed	Uncharacterized protein	Lamp1	Mus musculus (Mouse)	406
"NM_001017959,NM_010685"	"NM_010685 -> P17047-3,NM_001017959 -> P17047-1"	reviewed	"NM_001017959,NM_010685"	"NM_010685 -> P17047-3,NM_001017959 -> P17047-1"	P17047	LAMP2_MOUSE	reviewed	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (Lysosomal membrane glycoprotein type B) (LGP-B) (CD antigen CD107b)	Lamp2 Lamp-2	Mus musculus (Mouse)	415
NM_021460		unreviewed	NM_021460		Q3TEL5	Q3TEL5_MOUSE	unreviewed	Lipase	Lipa Lip1	Mus musculus (Mouse)	397
NM_021460		reviewed	NM_021460		Q9Z0M5	LICH_MOUSE	reviewed	Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Lipase A) (Sterol esterase)	Lipa Lip1	Mus musculus (Mouse)	397
NM_025837		unreviewed	NM_025837		Q3V100	Q3V100_MOUSE	unreviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8)	Mpi Mpi1 mCG_4013	Mus musculus (Mouse)	423
NM_025837		reviewed	NM_025837		Q924M7	MPI_MOUSE	reviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	Mpi Mpi1 Pmi	Mus musculus (Mouse)	423
NM_013792		unreviewed	NM_013792		O88325	O88325_MOUSE	unreviewed	"Alpha-N-acetylglucosaminidase (Alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)) (Alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB), isoform CRA_b) (N-acetyl-glucosaminidase)"	Naglu mCG_20229	Mus musculus (Mouse)	739
NM_011421		reviewed	NM_011421		Q04519	ASM_MOUSE	reviewed	Sphingomyelin phosphodiesterase (EC 3.1.4.12) (Acid sphingomyelinase) (ASMase)	Smpd1 Asm	Mus musculus (Mouse)	627
NM_008549		reviewed	NM_008549		P27046	MA2A1_MOUSE	reviewed	"Alpha-mannosidase 2 (EC 3.2.1.114) (Golgi alpha-mannosidase II) (AMan II) (Man II) (Mannosidase alpha class 2A member 1) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)"	Man2a1 Mana2	Mus musculus (Mouse)	1150
NM_008549		unreviewed	NM_008549		Q8C4L1	Q8C4L1_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Man2a1	Mus musculus (Mouse)	68
NM_172903		unreviewed	NM_172903		Q197W7	Q197W7_MOUSE	unreviewed	Alpha-mannosidase (EC 3.2.1.-)	Man2a2 mCG_19442	Mus musculus (Mouse)	1152
NM_172903		unreviewed	NM_172903		Q7TPQ0	Q7TPQ0_MOUSE	unreviewed	Man2a2 protein	Man2a2	Mus musculus (Mouse)	528
NM_172903	NM_172903 -> Q8BRK9-1	reviewed	NM_172903	NM_172903 -> Q8BRK9-1	Q8BRK9	MA2A2_MOUSE	reviewed	"Alpha-mannosidase 2x (EC 3.2.1.114) (Alpha-mannosidase IIx) (Man IIx) (Mannosidase alpha class 2A member 2) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)"	Man2a2 Mana2x	Mus musculus (Mouse)	1152
NM_010764		reviewed	NM_010764		O09159	MA2B1_MOUSE	reviewed	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B)	Man2b1 Laman Man2b Manb	Mus musculus (Mouse)	1013
NM_027288		unreviewed	NM_027288		A0A0R4J092	A0A0R4J092_MOUSE	unreviewed	Beta-mannosidase	Manba	Mus musculus (Mouse)	879
NM_027288		reviewed	NM_027288		Q8K2I4	MANBA_MOUSE	reviewed	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)	Manba Bmn	Mus musculus (Mouse)	879
NM_010299		unreviewed	NM_010299		Q5F1Z8	Q5F1Z8_MOUSE	unreviewed	GM2 ganglioside activator protein (Gm2a protein)	Gm2a mCG_1434	Mus musculus (Mouse)	193
NM_010299		reviewed	NM_010299		Q60648	SAP3_MOUSE	reviewed	Ganglioside GM2 activator (Cerebroside sulfate activator protein) (GM2-AP) (Sphingolipid activator protein 3) (SAP-3)	Gm2a	Mus musculus (Mouse)	193
NM_008669		unreviewed	NM_008669		Q3U6T2	Q3U6T2_MOUSE	unreviewed	Alpha-galactosidase (EC 3.2.1.-)	Naga	Mus musculus (Mouse)	415
NM_008669		reviewed	NM_008669		Q9QWR8	NAGAB_MOUSE	reviewed	Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B)	Naga	Mus musculus (Mouse)	415
NM_028749		reviewed	NM_028749		Q9DCJ9	NPL_MOUSE	reviewed	N-acetylneuraminate lyase (NALase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialate-pyruvate lyase) (Sialic acid aldolase) (Sialic acid lyase)	Npl	Mus musculus (Mouse)	320
NM_010893		reviewed	NM_010893		O35657	NEUR1_MOUSE	reviewed	Sialidase-1 (EC 3.2.1.18) (G9 sialidase) (Lysosomal sialidase) (N-acetyl-alpha-neuraminidase 1)	Neu1 Neu	Mus musculus (Mouse)	409
NM_010893		unreviewed	NM_010893		Q3UL64	Q3UL64_MOUSE	unreviewed	"Neuraminidase 1, isoform CRA_a"	Neu1 mCG_15944	Mus musculus (Mouse)	409
NM_015750		unreviewed	NM_015750		Q0VGI4	Q0VGI4_MOUSE	unreviewed	"Neu2 protein (Neuraminidase 2) (Neuraminidase 2, isoform CRA_a)"	Neu2 mCG_16214	Mus musculus (Mouse)	379
NM_015750		reviewed	NM_015750		Q9JMH3	NEUR2_MOUSE	reviewed	Sialidase-2 (EC 3.2.1.18) (Cytosolic sialidase) (Mouse skeletal muscle sialidase) (MSS) (Murine thymic sialidase) (MTS) (N-acetyl-alpha-neuraminidase 2)	Neu2	Mus musculus (Mouse)	379
NM_016720		unreviewed	NM_016720		Q543I9	Q543I9_MOUSE	unreviewed	Neuraminidase 3	Neu3 mCG_125227	Mus musculus (Mouse)	418
NM_016720		reviewed	NM_016720		Q9JMH7	NEUR3_MOUSE	reviewed	Sialidase-3 (EC 3.2.1.18) (Ganglioside sialidase) (Membrane sialidase) (N-acetyl-alpha-neuraminidase 3)	Neu3	Mus musculus (Mouse)	418
NM_016722		reviewed	NM_016722		Q571E4	GALNS_MOUSE	reviewed	N-acetylgalactosamine-6-sulfatase (EC 3.1.6.4) (Chondroitinsulfatase) (Chondroitinase) (Galactose-6-sulfate sulfatase) (N-acetylgalactosamine-6-sulfate sulfatase) (GalNAc6S sulfatase)	Galns	Mus musculus (Mouse)	520
NM_172294		reviewed	NM_172294		Q8K007	SULF1_MOUSE	reviewed	Extracellular sulfatase Sulf-1 (mSulf-1) (EC 3.1.6.-)	Sulf1 Kiaa1077	Mus musculus (Mouse)	870
NM_028072		reviewed	NM_028072		Q8CFG0	SULF2_MOUSE	reviewed	Extracellular sulfatase Sulf-2 (mSulf-2) (EC 3.1.6.-)	Sulf2	Mus musculus (Mouse)	875
NM_018822		unreviewed	NM_018822		Q3URR4	Q3URR4_MOUSE	unreviewed	Uncharacterized protein (Fragment)	Sgsh	Mus musculus (Mouse)	493
NM_018822		unreviewed	NM_018822		Q9EQ08	Q9EQ08_MOUSE	unreviewed	"Heparan N-sulfatase (N-sulfoglucosamine sulfohydrolase (Sulfamidase), isoform CRA_b) (N-sulfoglucosamine sulfohydrolase (sulfamidase))"	Sgsh mCG_15050	Mus musculus (Mouse)	502
NM_001081163		reviewed	NM_001081163		Q6ZQ11	CHSS1_MOUSE	reviewed	Chondroitin sulfate synthase 1 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 1) (Chondroitin synthase 1) (ChSy-1) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase 1) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 1) (N-acetylgalactosaminyltransferase 1)	Chsy1 Kiaa0990	Mus musculus (Mouse)	800
NM_001001566	NM_001001566 -> Q6IQX7-1	reviewed	NM_001001566	NM_001001566 -> Q6IQX7-1	Q6IQX7	CHSS2_MOUSE	reviewed	Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2)	Chpf Css2 D1Bwg1363e	Mus musculus (Mouse)	774
NM_008051		unreviewed	NM_008051		P97327	P97327_MOUSE	unreviewed	L-Fucosyltransferase (EC 2.4.1.-)	Fut1 FUT1 H mCG_23182	Mus musculus (Mouse)	377
"NM_001012517,NM_134161"	"NM_134161 -> Q5F2L2-2,NM_001012517 -> Q5F2L2-1"	reviewed	"NM_001012517,NM_134161"	"NM_134161 -> Q5F2L2-2,NM_001012517 -> Q5F2L2-1"	Q5F2L2	FUT10_MOUSE	reviewed	"Alpha-(1,3)-fucosyltransferase 10 (EC 2.4.1.-) (Fucosyltransferase X) (Fuc-TX) (FucT-X) (Galactoside 3-L-fucosyltransferase 10) (Fucosyltransferase 10)"	Fut10	Mus musculus (Mouse)	481
NM_028428		unreviewed	NM_028428		B2RRR9	B2RRR9_MOUSE	unreviewed	"Alpha-(1,3)-fucosyltransferase (EC 2.4.1.-)"	Fut11 mCG_140100	Mus musculus (Mouse)	489
NM_028428		reviewed	NM_028428		Q8BHC9	FUT11_MOUSE	reviewed	"Alpha-(1,3)-fucosyltransferase 11 (EC 2.4.1.-) (Fucosyltransferase XI) (Fuc-TXI) (FucT-XI) (Galactoside 3-L-fucosyltransferase 11) (Fucosyltransferase 11)"	Fut11	Mus musculus (Mouse)	489
NM_018876		unreviewed	NM_018876		A6H6C9	A6H6C9_MOUSE	unreviewed	L-Fucosyltransferase (EC 2.4.1.-)	Fut2 mCG_23184	Mus musculus (Mouse)	347
NM_018876		reviewed	NM_018876		Q9JL27	FUT2_MOUSE	reviewed	"Galactoside 2-alpha-L-fucosyltransferase 2 (EC 2.4.1.344) (EC 2.4.1.69) (Alpha(1,2)FT 2) (Fucosyltransferase 2) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 2) (Secretory blood group protein 2)"	Fut2 Sec2	Mus musculus (Mouse)	347
NM_010242	NM_010242 -> Q11127-1	reviewed	NM_010242	NM_010242 -> Q11127-1	Q11127	FUT4_MOUSE	reviewed	"Alpha-(1,3)-fucosyltransferase 4 (EC 2.4.1.-) (Fucosyltransferase 4) (Fucosyltransferase IV) (Fuc-TIV) (FucT-IV) (Galactoside 3-L-fucosyltransferase)"	Fut4 Elft	Mus musculus (Mouse)	433
NM_010242		unreviewed	NM_010242		Q544B8	Q544B8_MOUSE	unreviewed	Fucosyltransferase 4	Fut4 mCG_22660	Mus musculus (Mouse)	433
NM_013524	NM_013524 -> Q11131-2	reviewed	NM_013524	NM_013524 -> Q11131-2	Q11131	FUT7_MOUSE	reviewed	"Alpha-(1,3)-fucosyltransferase 7 (EC 2.4.1.-) (Fucosyltransferase 7) (Fucosyltransferase VII) (Fuc-TVII) (FucT-VII) (Galactoside 3-L-fucosyltransferase)"	Fut7	Mus musculus (Mouse)	389
NM_013524		unreviewed	NM_013524		Q3SWS0	Q3SWS0_MOUSE	unreviewed	Fucosyltransferase 7 (Fucosyltransferase 7 variant 1) (Fucosyltransferase 7 variant 2) (Fucosyltransferase 7 variant 3) (Fucosyltransferase 7 variant 5) (Fucosyltransferase 7 variant 6) (Fut7 protein)	Fut7 mCG_18755	Mus musculus (Mouse)	342
NM_016893		reviewed	NM_016893		Q9WTS2	FUT8_MOUSE	reviewed	"Alpha-(1,6)-fucosyltransferase (Alpha1-6FucT) (EC 2.4.1.68) (Fucosyltransferase 8) (GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1,6-fucosyltransferase) (GDP-fucose--glycoprotein fucosyltransferase) (Glycoprotein 6-alpha-L-fucosyltransferase)"	Fut8	Mus musculus (Mouse)	575
NM_010243		reviewed	NM_010243		O88819	FUT9_MOUSE	reviewed	"Alpha-(1,3)-fucosyltransferase 9 (EC 2.4.1.-) (Fucosyltransferase 9) (Fucosyltransferase IX) (Fuc-TIX) (FucT-IX) (Galactoside 3-L-fucosyltransferase)"	Fut9	Mus musculus (Mouse)	359
NM_010243		unreviewed	NM_010243		Q14AE3	Q14AE3_MOUSE	unreviewed	Fucosyltransferase 9	Fut9 mCG_8953	Mus musculus (Mouse)	359
NM_080463		reviewed	NM_080463		Q91ZW2	OFUT1_MOUSE	reviewed	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)	Pofut1	Mus musculus (Mouse)	393
NM_030262		unreviewed	NM_030262		B2RV73	B2RV73_MOUSE	unreviewed	"Protein O-fucosyltransferase 2 (Protein O-fucosyltransferase 2, isoform CRA_b)"	Pofut2 mCG_3385	Mus musculus (Mouse)	429
NM_030262		reviewed	NM_030262		Q8VHI3	OFUT2_MOUSE	reviewed	GDP-fucose protein O-fucosyltransferase 2 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 2) (O-FucT-2)	Pofut2	Mus musculus (Mouse)	429
NM_008080		reviewed	NM_008080		Q09200	B4GN1_MOUSE	reviewed	"Beta-1,4 N-acetylgalactosaminyltransferase 1 (EC 2.4.1.92) ((N-acetylneuraminyl)-galactosylglucosylceramide) (GM2/GD2 synthase) (GalNAc-T)"	B4galnt1 Galgt Galgt1 Ggm2	Mus musculus (Mouse)	533
NM_008080		unreviewed	NM_008080		Q3UN35	Q3UN35_MOUSE	unreviewed	"Beta-1,4 N-acetylgalactosaminyltransferase"	B4galnt1 Galgt1	Mus musculus (Mouse)	533
NM_008081		unreviewed	NM_008081		A2A615	A2A615_MOUSE	unreviewed	"Beta-1,4 N-acetylgalactosaminyltransferase"	B4galnt2 mCG_117861 RP23-151M22.8-001	Mus musculus (Mouse)	510
NM_008081		reviewed	NM_008081		Q09199	B4GN2_MOUSE	reviewed	"Beta-1,4 N-acetylgalactosaminyltransferase 2 (EC 2.4.1.-)"	B4galnt2 Galgt2 Ggm3	Mus musculus (Mouse)	510
NM_198884		reviewed	NM_198884		Q6L8S8	B4GN3_MOUSE	reviewed	"Beta-1,4-N-acetylgalactosaminyltransferase 3 (Beta4GalNAc-T3) (Beta4GalNAcT3) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase III) (N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2) (NGalNAc-T2)"	B4galnt3	Mus musculus (Mouse)	986
NM_177897	NM_177897 -> Q766D5-1	reviewed	NM_177897	NM_177897 -> Q766D5-1	Q766D5	B4GN4_MOUSE	reviewed	"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 (NGalNAc-T1) (EC 2.4.1.244) (Beta-1,4-N-acetylgalactosaminyltransferase IV) (Beta4GalNAc-T4) (Beta4GalNAcT4)"	B4galnt4	Mus musculus (Mouse)	1034
NM_172753		reviewed	NM_172753		Q8BJQ9	CGAT1_MOUSE	reviewed	"Chondroitin sulfate N-acetylgalactosaminyltransferase 1 (CsGalNAcT-1) (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 1) (Beta4GalNAcT-1)"	Csgalnact1 Chgn Galnact1	Mus musculus (Mouse)	530
NM_030165		reviewed	NM_030165		Q8C1F4	CGAT2_MOUSE	reviewed	"Chondroitin sulfate N-acetylgalactosaminyltransferase 2 (EC 2.4.1.174) (Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2) (Beta4GalNAcT-2) (GalNAcT-2)"	Csgalnact2 Chgn2 Galnact2	Mus musculus (Mouse)	542
NM_013814		reviewed	NM_013814		O08912	GALT1_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 1 (EC 2.4.1.41) (Polypeptide GalNAc transferase 1) (GalNAc-T1) (pp-GaNTase 1) (Protein-UDP acetylgalactosaminyltransferase 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 1) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 1 soluble form]	Galnt1	Mus musculus (Mouse)	559
NM_134189		unreviewed	NM_134189		Q5SQF9	Q5SQF9_MOUSE	unreviewed	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt10	Mus musculus (Mouse)	603
NM_134189		reviewed	NM_134189		Q6P9S7	GLT10_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 10 (EC 2.4.1.41) (Polypeptide GalNAc transferase 10) (GalNAc-T10) (pp-GaNTase 10) (Protein-UDP acetylgalactosaminyltransferase 10) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 10)	Galnt10	Mus musculus (Mouse)	603
NM_144908		reviewed	NM_144908		Q921L8	GLT11_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 11 (EC 2.4.1.41) (Polypeptide GalNAc transferase 11) (GalNAc-T11) (pp-GaNTase 11) (Protein-UDP acetylgalactosaminyltransferase 11) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 11)	Galnt11	Mus musculus (Mouse)	608
NM_172693		unreviewed	NM_172693		Q60GT3	Q60GT3_MOUSE	unreviewed	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt12 mpp-GalNAc-T12	Mus musculus (Mouse)	576
NM_172693		reviewed	NM_172693		Q8BGT9	GLT12_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 12 (EC 2.4.1.41) (Polypeptide GalNAc transferase 12) (GalNAc-T12) (pp-GaNTase 12) (Protein-UDP acetylgalactosaminyltransferase 12) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 12)	Galnt12	Mus musculus (Mouse)	576
NM_173030		unreviewed	NM_173030		A2RRI8	A2RRI8_MOUSE	unreviewed	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt13 mCG_142547	Mus musculus (Mouse)	556
NM_173030	NM_173030 -> Q8CF93-1	reviewed	NM_173030	NM_173030 -> Q8CF93-1	Q8CF93	GLT13_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 13 (EC 2.4.1.41) (Polypeptide GalNAc transferase 13) (GalNAc-T13) (pp-GaNTase 13) (Protein-UDP acetylgalactosaminyltransferase 13) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 13)	Galnt13	Mus musculus (Mouse)	556
NM_027864		unreviewed	NM_027864		Q08EC9	Q08EC9_MOUSE	unreviewed	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt14	Mus musculus (Mouse)	550
NM_027864		reviewed	NM_027864		Q8BVG5	GLT14_MOUSE	reviewed	Polypeptide N-acetylgalactosaminyltransferase 14 (EC 2.4.1.41) (Polypeptide GalNAc transferase 14) (GalNAc-T14) (pp-GaNTase 14) (Protein-UDP acetylgalactosaminyltransferase 14) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 14)	Galnt14	Mus musculus (Mouse)	550
